Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak
125,Wednesday Aug 23,boxscore,LAD,@,PIT,L-wo,0,1,10,89-36,1,up21.0,Nicasio,Hill,,2:34,N,19859,-
126,Thursday Aug 24,boxscore,LAD,@,PIT,W,5,2,,90-36,1,up21.0,Ryu,Kuhl,Morrow,3:37,D,22115,+
127,Friday Aug 25,boxscore,LAD,,MIL,W,3,1,,91-36,1,up21.0,Maeda,Anderson,Jansen,3:00,N,52455,++
128,Saturday Aug 26,boxscore,LAD,,MIL,L,0,3,,91-37,1,up20.0,Davies,Ravin,Knebel,2:58,N,52345,-
129,Sunday Aug 27,boxscore,LAD,,MIL,L,2,3,,91-38,1,up19.0,Nelson,Darvish,Knebel,3:31,D,51355,--
130,Tuesday Aug 29,boxscore,LAD,@,ARI,L,6,7,,91-39,1,up18.0,Godley,Hill,Rodney,3:08,N,25219,---
131,Wednesday Aug 30,boxscore,LAD,@,ARI,L,4,6,,91-40,1,up17.0,Ray,Ryu,Rodney,3:05,N,23321,----
132,Thursday Aug 31,boxscore,LAD,@,ARI,L,1,8,,91-41,1,up16.0,Greinke,Maeda,,3:02,D,19882,-----
133,Friday Sep 1,boxscore,LAD,@,SDP,W,1,0,,92-41,1,up16.0,Kershaw,Lamet,Jansen,2:57,N,36767,+
134,Saturday Sep 2 (1),boxscore,LAD,@,SDP,L-wo,5,6,,92-42,1,up14.5,Hand,Baez,,3:11,D,39140,-
135,Saturday Sep 2 (2),boxscore,LAD,@,SDP,L,2,7,,92-43,1,up14.5,Baumann,Darvish,,3:40,N,42130,--
136,Sunday Sep 3,boxscore,LAD,@,SDP,L,4,6,,92-44,1,up13.5,Chacin,Wood,Hand,2:51,D,33949,---
137,Monday Sep 4,boxscore,LAD,,ARI,L,0,13,,92-45,1,up12.5,Ray,Hill,,3:00,N,47192,----
