Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
73,Wednesday Jun 20,boxscore,LAD,@,CHC,L,0,4,,38-35,2,2,Lester,Stripling,,2:46,D,41199,--,
74,Friday Jun 22,boxscore,LAD,@,NYM,W,5,2,,39-35,2,2.5,Wood,Wheeler,Jansen,2:40,N,32565,+,
75,Saturday Jun 23,boxscore,LAD,@,NYM,W,8,3,,40-35,2,2.5,Ferguson,deGrom,,3:01,N,37705,++,
76,Sunday Jun 24,boxscore,LAD,@,NYM,W,8,7,11,41-35,2,2.5,Hudson,Flexen,,3:50,D,34060,+++,
77,Monday Jun 25,boxscore,LAD,,CHC,W,2,1,,42-35,2,1.5,Maeda,Underwood,Jansen,2:32,N,41750,++++,
78,Tuesday Jun 26,boxscore,LAD,,CHC,L,4,9,,42-36,2,2.5,Lester,Garcia,,3:26,N,53904,-,
79,Wednesday Jun 27,boxscore,LAD,,CHC,W,7,5,,43-36,2,2.5,Wood,Hendricks,Jansen,3:08,N,42121,+,
80,Thursday Jun 28,boxscore,LAD,,CHC,L,5,11,,43-37,2,3.5,Cishek,Buehler,,3:03,D,52187,-,
81,Friday Jun 29,boxscore,LAD,,COL,L,1,3,,43-38,2,3.5,Anderson,Hill,Davis,2:39,N,41909,--,
82,Saturday Jun 30,boxscore,LAD,,COL,L,1,3,,43-39,2,3.5,Marquez,Maeda,Ottavino,2:39,D,46172,---,
83,Sunday Jul 1,boxscore,LAD,,COL,W,6,4,,44-39,2,2.5,Hudson,Ottavino,Jansen,3:00,D,45725,+,
84,Monday Jul 2,boxscore,LAD,,PIT,W,17,1,,45-39,2,1.5,Wood,Kingham,Ferguson,3:20,N,45207,++,
85,Tuesday Jul 3,boxscore,LAD,,PIT,W,8,3,,46-39,2,1.5,Kershaw,Nova,,2:57,N,48819,+++,
86,Wednesday Jul 4,boxscore,LAD,,PIT,W,6,4,,47-39,2,0.5,Hill,Holmes,Jansen,3:23,N,53139,++++,
87,Friday Jul 6,boxscore,LAD,@,LAA,L-wo,2,3,,47-40,2,1,Parker,Jansen,,3:12,N,44323,-,
88,Saturday Jul 7,boxscore,LAD,@,LAA,W,3,1,,48-40,2,1,Stripling,Cole,Jansen,3:18,D,44409,+,
89,Sunday Jul 8,boxscore,LAD,@,LAA,L,3,4,,48-41,2,1,Heaney,Chargois,Anderson,2:39,N,42213,-,
90,Monday Jul 9,boxscore,LAD,@,SDP,W,8,2,,49-41,2,0.5,Kershaw,Perdomo,,2:50,N,28110,+,
91,Tuesday Jul 10,boxscore,LAD,@,SDP,L,1,4,,49-42,2,1.5,Lauer,Hill,,2:18,N,26272,-,
92,Wednesday Jul 11,boxscore,LAD,@,SDP,W,4,2,,50-42,2,0.5,Maeda,Lucchesi,Jansen,3:18,N,26448,+,
93,Thursday Jul 12,boxscore,LAD,@,SDP,W,3,2,,51-42,1,up 0.5,Stripling,Ross,Jansen,3:14,N,29595,++,
94,Friday Jul 13,boxscore,LAD,,LAA,W,3,2,,52-42,1,up 0.5,Ferguson,Bedrosian,Alexander,3:13,N,53368,+++,
95,Saturday Jul 14,boxscore,LAD,,LAA,L,4,5,10,52-43,2,0.5,Alvarez,Jansen,,3:47,D,53797,-,
96,Sunday Jul 15,boxscore,LAD,,LAA,W,5,3,,53-43,1,up 0.5,Maeda,Cole,Jansen,3:10,D,47871,+,
97,Friday Jul 20,boxscore,LAD,@,MIL,W,6,4,,54-43,1,up 1.5,Hill,Williams,Jansen,3:07,N,36812,++,
98,Saturday Jul 21,boxscore,LAD,@,MIL,L,2,4,,54-44,1,up 1.0,Burnes,Kershaw,Knebel,3:15,N,36242,-,
99,Sunday Jul 22,boxscore,LAD,@,MIL,W,11,2,,55-44,1,up 1.5,Wood,Suter,Ferguson,2:59,D,38249,+,
100,Monday Jul 23,boxscore,LAD,@,PHI,W,7,6,,56-44,1,up 1.5,Alexander,Dominguez,Jansen,3:43,N,33753,++,
101,Tuesday Jul 24,boxscore,LAD,@,PHI,L-wo,4,7,16,56-45,1,up 0.5,Velasquez,Hernandez,,5:55,N,35028,-,
102,Wednesday Jul 25,boxscore,LAD,@,PHI,L,3,7,,56-46,1,up 0.5,Arrieta,Buehler,Dominguez,2:58,D,35659,--,
103,Thursday Jul 26,boxscore,LAD,@,ATL,W,8,2,,57-46,1,up 1.5,Hill,Sanchez,,2:55,N,40706,+,
104,Friday Jul 27,boxscore,LAD,@,ATL,W,4,1,,58-46,1,up 1.5,Kershaw,Foltynewicz,Jansen,2:51,N,41647,++,
105,Saturday Jul 28,boxscore,LAD,@,ATL,W,5,1,,59-46,1,up 1.5,Wood,Fried,,3:22,N,41758,+++,
106,Sunday Jul 29,boxscore,LAD,@,ATL,L,1,4,,59-47,1,up 0.5,Newcomb,Stripling,,2:47,D,40303,-,
107,Monday Jul 30,boxscore,LAD,,MIL,L,2,5,,59-48,1,up 0.5,Hader,Maeda,,3:44,N,44933,--,
108,Tuesday Jul 31,boxscore,LAD,,MIL,L,0,1,,59-49,2,0.5,Miley,Buehler,Jeffress,2:17,N,44818,---,
109,Wednesday Aug 1,boxscore,LAD,,MIL,W-wo,6,4,10,60-49,1,Tied,Floro,Albers,,3:19,N,41686,+,
110,Thursday Aug 2,boxscore,LAD,,MIL,W,21,5,,61-49,1,up 1.0,Kershaw,Chacin,,3:42,N,45087,++,
111,Friday Aug 3,boxscore,LAD,,HOU,L,1,2,,61-50,1,Tied,Verlander,Wood,Rondon,2:59,N,53598,-,
112,Saturday Aug 4,boxscore,LAD,,HOU,L,0,14,,61-51,2,1,Peacock,Maeda,,3:37,N,53119,--,
113,Sunday Aug 5,boxscore,LAD,,HOU,W,3,2,,62-51,1,Tied,Buehler,Cole,Jansen,2:54,D,50628,+,
114,Tuesday Aug 7,boxscore,LAD,@,OAK,W,4,2,,63-51,1,up 0.5,Hill,Manaea,Jansen,3:21,N,33654,++,
115,Wednesday Aug 8,boxscore,LAD,@,OAK,L,2,3,,63-52,2,0.5,Familia,Chargois,Treinen,3:00,N,32062,-,
116,Thursday Aug 9,boxscore,LAD,@,COL,W,8,5,,64-52,1,Tied,Ferguson,Davis,Alexander,3:29,N,43076,+,
117,Friday Aug 10,boxscore,LAD,@,COL,L,4,5,,64-53,1,Tied,McGee,Rosscup,Ottavino,3:31,N,42184,-,
118,Saturday Aug 11,boxscore,LAD,@,COL,L-wo,2,3,,64-54,1,Tied,Shaw,Chargois,,2:54,N,47633,--,
119,Sunday Aug 12,boxscore,LAD,@,COL,L-wo,3,4,,64-55,2,1,Davis,Floro,,2:48,D,40559,---,
120,Monday Aug 13,boxscore,LAD,,SFG,L,2,5,,64-56,2,1,Black,Alexander,Smith,3:05,N,45229,----,
121,Tuesday Aug 14,boxscore,LAD,,SFG,L,1,2,,64-57,3,2,Dyson,Maeda,Smith,3:09,N,46734,-----,
122,Wednesday Aug 15,boxscore,LAD,,SFG,W-wo,4,3,12,65-57,2,1.5,Baez,Kelly,,4:05,N,44987,+,
123,Friday Aug 17,boxscore,LAD,@,SEA,W,11,1,,66-57,3,2,Buehler,LeBlanc,,2:44,N,46796,++,
124,Saturday Aug 18,boxscore,LAD,@,SEA,L-wo,4,5,10,66-58,3,2,Warren,Ferguson,,3:36,N,43264,-,
125,Sunday Aug 19,boxscore,LAD,@,SEA,W,12,1,,67-58,3,2,Kershaw,Elias,,3:12,D,45419,+,
126,Monday Aug 20,boxscore,LAD,,STL,L,3,5,,67-59,3,2.5,Cecil,Jansen,Norris,4:10,N,42402,-,
127,Tuesday Aug 21,boxscore,LAD,,STL,L,2,5,,67-60,3,3.5,Weaver,Ryu,Norris,3:25,N,43923,--,
128,Wednesday Aug 22,boxscore,LAD,,STL,L,1,3,,67-61,3,4.5,Hudson,Jansen,Hicks,3:02,N,48247,---,
129,Friday Aug 24,boxscore,LAD,,SDP,W,11,1,,68-61,3,3.5,Hill,Richard,,2:48,N,47559,+,
