Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
57,Thursday May 31,boxscore,BOS,@,HOU,L,2,4,,39-18,1,up 2.0,McCullers,Pomeranz,Giles,2:57,N,30658,-,
58,Friday Jun 1,boxscore,BOS,@,HOU,L,3,7,,39-19,1,up 1.0,Cole,Sale,,2:55,N,37244,--,
59,Saturday Jun 2,boxscore,BOS,@,HOU,W,5,4,,40-19,1,up 1.0,Price,Harris,Kimbrel,3:41,N,38640,+,
60,Sunday Jun 3,boxscore,BOS,@,HOU,W,9,3,,41-19,1,up 1.5,Porcello,Morton,,3:25,N,33431,++,
61,Tuesday Jun 5,boxscore,BOS,,DET,W,6,0,,42-19,1,up 1.5,Wright,Lewicki,,2:41,N,34762,+++,
62,Wednesday Jun 6,boxscore,BOS,,DET,W,7,1,,43-19,1,up 1.5,Rodriguez,Hardy,,3:20,N,35182,++++,
63,Thursday Jun 7,boxscore,BOS,,DET,L,2,7,,43-20,1,up 1.0,Boyd,Beeks,,2:55,N,36556,-,
64,Friday Jun 8,boxscore,BOS,,CHW,L,0,1,,43-21,1,Tied,Covey,Sale,Soria,2:24,N,36593,--,
65,Saturday Jun 9,boxscore,BOS,,CHW,W,4,2,,44-21,1,Tied,Price,Rodon,Kimbrel,2:48,D,36675,+,
66,Sunday Jun 10,boxscore,BOS,,CHW,L,2,5,,44-22,1,Tied,Lopez,Porcello,Soria,3:15,D,36998,-,
67,Monday Jun 11,boxscore,BOS,@,BAL,W,2,0,12,45-22,1,up 0.5,Hembree,Givens,Kimbrel,3:45,N,15934,+,
68,Tuesday Jun 12,boxscore,BOS,@,BAL,W,6,4,,46-22,1,up 0.5,Rodriguez,Hess,,3:58,N,21837,++,
69,Wednesday Jun 13,boxscore,BOS,@,BAL,W,5,1,,47-22,1,up 1.5,Sale,Ramirez,,3:20,D,17217,+++,
70,Thursday Jun 14,boxscore,BOS,@,SEA,W,2,1,,48-22,1,up 1.5,Price,Hernandez,Kimbrel,2:56,N,30479,++++,
71,Friday Jun 15,boxscore,BOS,@,SEA,L,6,7,,48-23,1,up 0.5,Cook,Barnes,Diaz,3:09,N,44459,-,
72,Saturday Jun 16,boxscore,BOS,@,SEA,L,0,1,,48-24,2,0.5,LeBlanc,Wright,Diaz,2:22,N,44151,--,
73,Sunday Jun 17,boxscore,BOS,@,SEA,W,9,3,,49-24,1,up 0.5,Rodriguez,Leake,,3:15,D,46462,+,
74,Tuesday Jun 19,boxscore,BOS,@,MIN,L,2,6,,49-25,2,1,Duke,Scott,,3:14,N,28550,-,
75,Wednesday Jun 20,boxscore,BOS,@,MIN,L,1,4,,49-26,2,2,Lynn,Price,Rodney,3:13,N,33153,--,
76,Thursday Jun 21,boxscore,BOS,@,MIN,W,9,2,,50-26,2,2,Porcello,Gibson,,2:58,D,32631,+,
77,Friday Jun 22,boxscore,BOS,,SEA,W,14,10,,51-26,2,1,Barnes,Nicasio,,3:34,N,37342,++,
78,Saturday Jun 23,boxscore,BOS,,SEA,L,2,7,,51-27,2,1,Leake,Rodriguez,,3:01,N,36051,-,
79,Sunday Jun 24,boxscore,BOS,,SEA,W,5,0,,52-27,1,Tied,Sale,Gonzales,,2:29,D,36274,+,
80,Tuesday Jun 26,boxscore,BOS,,LAA,W,9,1,,53-27,2,0.5,Price,Lamb,,2:54,N,37366,++,
81,Wednesday Jun 27,boxscore,BOS,,LAA,W,9,6,,54-27,1,up 0.5,Barnes,Alvarez,Kimbrel,4:00,N,37521,+++,
82,Thursday Jun 28,boxscore,BOS,,LAA,W,4,2,,55-27,1,up 1.0,Velazquez,Barria,Kimbrel,3:06,N,36992,++++,
83,Friday Jun 29,boxscore,BOS,@,NYY,L,1,8,,55-28,1,Tied,Sabathia,Rodriguez,,2:41,N,47120,-,
84,Saturday Jun 30,boxscore,BOS,@,NYY,W,11,0,,56-28,1,up 1.0,Sale,Gray,,3:17,N,47125,+,
85,Sunday Jul 1,boxscore,BOS,@,NYY,L,1,11,,56-29,1,Tied,Severino,Price,,3:14,N,46795,-,
86,Monday Jul 2,boxscore,BOS,@,WSN,W,4,3,,57-29,1,up 1.0,Porcello,Scherzer,Kimbrel,3:15,N,39002,+,
87,Tuesday Jul 3,boxscore,BOS,@,WSN,W,11,4,,58-29,1,up 1.0,Workman,Roark,,2:55,N,42531,++,
88,Wednesday Jul 4,boxscore,BOS,@,WSN,W,3,0,,59-29,1,up 1.0,Rodriguez,Madson,Kimbrel,3:23,D,42528,+++,
89,Friday Jul 6,boxscore,BOS,@,KCR,W,10,5,,60-29,1,up 2.0,Sale,Hammel,,2:59,N,24673,++++,
90,Saturday Jul 7,boxscore,BOS,@,KCR,W,15,4,,61-29,1,up 2.0,Hembree,Adam,,4:03,N,30347,+++++,
91,Sunday Jul 8,boxscore,BOS,@,KCR,W,7,4,,62-29,1,up 2.0,Porcello,Fillmyer,Kimbrel,3:25,D,28443,++++++,
92,Monday Jul 9,boxscore,BOS,,TEX,W,5,0,,63-29,1,up 2.5,Rodriguez,Minor,,2:52,N,36754,+++++++,
93,Tuesday Jul 10,boxscore,BOS,,TEX,W,8,4,,64-29,1,up 3.5,Barnes,Gallardo,,2:56,N,36883,++++++++,
94,Wednesday Jul 11,boxscore,BOS,,TEX,W,4,2,,65-29,1,up 3.5,Sale,Colon,Kimbrel,2:58,N,36920,+++++++++,
95,Thursday Jul 12,boxscore,BOS,,TOR,W,6,4,,66-29,1,up 3.5,Price,Happ,Kimbrel,3:19,N,37182,++++++++++,
96,Friday Jul 13,boxscore,BOS,,TOR,L,7,13,,66-30,1,up 3.5,Petricka,Porcello,,3:43,N,37018,-,
97,Saturday Jul 14,boxscore,BOS,,TOR,W-wo,6,2,10,67-30,1,up 3.5,Kimbrel,Rowley,,3:32,D,36390,+,
98,Sunday Jul 15,boxscore,BOS,,TOR,W,5,2,,68-30,1,up 4.5,Workman,Stroman,Kimbrel,3:12,D,36940,++,
99,Friday Jul 20,boxscore,BOS,@,DET,W,1,0,,69-30,1,up 5.5,Price,Boyd,Kimbrel,3:31,N,33817,+++,
100,Saturday Jul 21,boxscore,BOS,@,DET,L,0,5,,69-31,1,up 4.5,Fiers,Johnson,,2:27,N,31682,-,
101,Sunday Jul 22,boxscore,BOS,@,DET,W,9,1,,70-31,1,up 5.0,Sale,Hardy,,2:55,D,25012,+,
102,Monday Jul 23,boxscore,BOS,@,BAL,W,5,3,,71-31,1,up 6.0,Porcello,Gausman,Kimbrel,2:54,N,16885,++,
103,Tuesday Jul 24,boxscore,BOS,@,BAL,L,6,7,,71-32,1,up 5.0,Ramirez,Pomeranz,Brach,3:07,N,13342,-,
104,Thursday Jul 26,boxscore,BOS,,MIN,L,1,2,,71-33,1,up 4.5,Gibson,Barnes,Rodney,2:59,N,37439,--,
105,Friday Jul 27,boxscore,BOS,,MIN,W-wo,4,3,10,72-33,1,up 5.0,Thornburg,Belisle,,3:26,N,37273,+,
106,Saturday Jul 28,boxscore,BOS,,MIN,W,10,4,,73-33,1,up 5.5,Porcello,Odorizzi,,3:28,N,36798,++,
107,Sunday Jul 29,boxscore,BOS,,MIN,W,3,0,,74-33,1,up 5.5,Eovaldi,Berrios,Kimbrel,2:42,D,36785,+++,
108,Monday Jul 30,boxscore,BOS,,PHI,W-wo,2,1,13,75-33,1,up 6.0,Velazquez,Davis,,4:03,N,37722,++++,
109,Tuesday Jul 31,boxscore,BOS,,PHI,L,1,3,,75-34,1,up 5.0,Arrieta,Pomeranz,Dominguez,3:13,N,37816,-,
110,Thursday Aug 2,boxscore,BOS,,NYY,W,15,7,,76-34,1,up 6.5,Johnson,Holder,,3:25,N,37317,+,
111,Friday Aug 3,boxscore,BOS,,NYY,W,4,1,,77-34,1,up 7.5,Porcello,Severino,,2:15,N,37231,++,
112,Saturday Aug 4,boxscore,BOS,,NYY,W,4,1,,78-34,1,up 8.5,Eovaldi,Adams,,2:33,D,36699,+++,
113,Sunday Aug 5,boxscore,BOS,,NYY,W-wo,5,4,10,79-34,1,up 9.5,Barnes,Holder,,4:39,N,37830,++++,
114,Tuesday Aug 7,boxscore,BOS,@,TOR,W,10,7,10,80-34,1,up 9.0,Kimbrel,Giles,,3:27,N,31855,+++++,
115,Wednesday Aug 8,boxscore,BOS,@,TOR,W,10,5,,81-34,1,up 9.0,Johnson,Hauschild,,3:02,N,36798,++++++,
116,Thursday Aug 9,boxscore,BOS,@,TOR,L,5,8,,81-35,1,up 8.0,Borucki,Porcello,,2:49,N,28415,-,
117,Friday Aug 10,boxscore,BOS,@,BAL,W,19,12,,82-35,1,up 9.0,Pomeranz,Castro,,4:01,N,23649,+,
118,Saturday Aug 11 (1),boxscore,BOS,@,BAL,W,5,0,,83-35,1,up 9.5,Price,Yacabonis,,2:48,D,18003,++,
119,Saturday Aug 11 (2),boxscore,BOS,@,BAL,W,6,4,,84-35,1,up 9.5,Kelly,Wright,Kimbrel,3:39,N,24051,+++,
120,Sunday Aug 12,boxscore,BOS,@,BAL,W,4,1,,85-35,1,up 9.5,Sale,Cobb,Kimbrel,3:04,D,25303,++++,
