Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
16,Sunday Apr 14,boxscore,HOU,@,SEA,W,3,2,,11-5,2,1.0,Cole,Brennan,Osuna,2:40,D,29237,+++++++++,
17,Tuesday Apr 16,boxscore,HOU,@,OAK,W,9,1,,12-5,1,up 0.5,McHugh,Estrada,,3:03,N,12270,++++++++++,
18,Wednesday Apr 17,boxscore,HOU,@,OAK,L,1,2,,12-6,1,up 0.5,Montas,Miley,Treinen,2:29,N,11323,-,
19,Friday Apr 19,boxscore,HOU,@,TEX,W,7,2,,13-6,1,Tied,Verlander,Smyly,,3:16,N,35649,+,
20,Saturday Apr 20,boxscore,HOU,@,TEX,L,4,9,,13-7,2,1.0,Kelley,Cole,,2:51,N,39636,-,
21,Sunday Apr 21,boxscore,HOU,@,TEX,L,10,11,,13-8,2,1.0,Miller,McHugh,Kelley,3:16,D,26225,--,
22,Monday Apr 22,boxscore,HOU,,MIN,L,5,9,,13-9,2,1.5,Odorizzi,Peacock,,3:25,N,34518,---,
23,Tuesday Apr 23,boxscore,HOU,,MIN,W,10,4,,14-9,2,0.5,Rondon,Hildenberger,,3:04,N,29409,+,
24,Wednesday Apr 24,boxscore,HOU,,MIN,W,7,1,,15-9,1,up 0.5,Verlander,Stewart,,2:28,N,26582,++,
25,Thursday Apr 25,boxscore,HOU,,CLE,L,1,2,,15-10,2,0.5,Bauer,Cole,Hand,2:40,N,24948,-,
26,Friday Apr 26,boxscore,HOU,,CLE,L,3,6,,15-11,2,1.5,Cimber,Rondon,Hand,3:19,N,38084,--,
27,Saturday Apr 27,boxscore,HOU,,CLE,W-wo,4,3,10,16-11,2,0.5,Osuna,Cimber,,3:12,D,38667,+,
28,Sunday Apr 28,boxscore,HOU,,CLE,W,4,1,,17-11,1,up 0.5,Valdez,Carrasco,Pressly,2:48,N,31025,++,
29,Monday Apr 29,boxscore,HOU,@,MIN,L,0,1,,17-12,1,Tied,Odorizzi,Verlander,Parker,2:31,N,12615,-,
30,Tuesday Apr 30,boxscore,HOU,@,MIN,W,11,0,,18-12,1,up 1.0,Cole,Pineda,,3:18,N,12181,+,
31,Wednesday May 1,boxscore,HOU,@,MIN,L,2,6,,18-13,1,up 1.0,Perez,McHugh,,2:28,N,14115,-,
32,Thursday May 2,boxscore,HOU,@,MIN,L,2,8,,18-14,1,up 0.5,Berrios,Peacock,,2:32,D,17271,--,
33,Saturday May 4,boxscore,HOU,@,LAA,W,14,2,,19-14,1,up 2.0,Miley,Cahill,,3:15,N,18177,+,
34,Sunday May 5,boxscore,HOU,@,LAA,W,10,4,,20-14,1,up 2.0,Verlander,Harvey,,3:04,D,17614,++,
35,Monday May 6,boxscore,HOU,,KCR,W,6,4,,21-14,1,up 3.0,Cole,Junis,Osuna,2:57,N,27079,+++,
36,Tuesday May 7,boxscore,HOU,,KCR,L,2,12,,21-15,1,up 3.0,Duffy,McHugh,,2:45,N,30377,-,
37,Wednesday May 8,boxscore,HOU,,KCR,W,9,0,,22-15,1,up 3.0,Peacock,Lopez,,2:45,N,22698,+,
38,Thursday May 9,boxscore,HOU,,TEX,W,4,2,,23-15,1,up 4.0,Miley,Minor,Osuna,2:58,N,26657,++,
39,Friday May 10,boxscore,HOU,,TEX,W,3,0,,24-15,1,up 5.0,Verlander,Lynn,Osuna,2:29,N,33023,+++,
40,Saturday May 11,boxscore,HOU,,TEX,W,11,4,,25-15,1,up 5.5,Cole,Smyly,,3:15,N,35849,++++,
41,Sunday May 12,boxscore,HOU,,TEX,W,15,5,,26-15,1,up 6.5,Martin,Sampson,,3:08,D,41027,+++++,
42,Monday May 13,boxscore,HOU,@,DET,W,8,1,,27-15,1,up 6.5,Peacock,Boyd,,3:03,N,15086,++++++,
43,Tuesday May 14,boxscore,HOU,@,DET,W,11,4,,28-15,1,up 7.0,Miley,Carpenter,,2:49,N,14261,+++++++,
44,Wednesday May 15,boxscore,HOU,@,DET,W,5,1,,29-15,1,up 7.5,Verlander,Soto,,2:36,N,15940,++++++++,
45,Friday May 17,boxscore,HOU,@,BOS,W,3,1,,30-15,1,up 8.5,Harris,Porcello,Osuna,3:00,N,35558,+++++++++,
46,Saturday May 18,boxscore,HOU,@,BOS,W,7,3,,31-15,1,up 8.5,James,Velazquez,,3:31,N,36887,++++++++++,
47,Sunday May 19,boxscore,HOU,@,BOS,L,3,4,,31-16,1,up 8.5,Walden,Valdez,Workman,3:02,D,35796,-,
48,Monday May 20,boxscore,HOU,,CHW,W,3,0,,32-16,1,up 8.5,Peacock,Burr,Osuna,2:40,N,24364,+,
49,Tuesday May 21,boxscore,HOU,,CHW,W,5,1,,33-16,1,up 8.5,Verlander,Covey,,2:53,N,31392,++,
50,Wednesday May 22,boxscore,HOU,,CHW,L,4,9,,33-17,1,up 7.5,Nova,Cole,,3:16,N,30237,-,
51,Thursday May 23,boxscore,HOU,,CHW,L,0,4,,33-18,1,up 7.0,Giolito,Martin,,2:40,N,26073,--,
52,Friday May 24,boxscore,HOU,,BOS,W,4,3,,34-18,1,up 7.0,Miley,Sale,Osuna,2:48,N,35606,+,
53,Saturday May 25,boxscore,HOU,,BOS,W-wo,4,3,,35-18,1,up 7.5,Osuna,Barnes,,3:28,N,40722,++,
54,Sunday May 26,boxscore,HOU,,BOS,L,1,4,,35-19,1,up 6.5,Rodriguez,Verlander,Walden,3:06,D,41502,-,
55,Monday May 27,boxscore,HOU,,CHC,W,6,5,,36-19,1,up 6.5,Cole,Hamels,Osuna,3:12,D,42135,+,
56,Tuesday May 28,boxscore,HOU,,CHC,W,9,6,,37-19,1,up 7.5,James,Lester,Osuna,3:08,N,31030,++,
57,Wednesday May 29,boxscore,HOU,,CHC,L,1,2,,37-20,1,up 7.5,Hendricks,Miley,Cishek,2:37,N,33243,-,
58,Friday May 31,boxscore,HOU,@,OAK,W,3,2,,38-20,1,up 8.5,Rondon,Trivino,Osuna,2:52,N,14519,+,
59,Saturday Jun 1,boxscore,HOU,@,OAK,W,5,1,,39-20,1,up 8.5,Verlander,Anderson,,2:37,N,20425,++,
60,Sunday Jun 2,boxscore,HOU,@,OAK,W,6,4,12,40-20,1,up 8.5,James,Trivino,,4:24,D,23144,+++,
61,Monday Jun 3,boxscore,HOU,@,SEA,W,4,2,,41-20,1,up 9.0,Valdez,Gearrin,Pressly,2:49,N,11825,++++,
62,Tuesday Jun 4,boxscore,HOU,@,SEA,W,11,5,,42-20,1,up10.0,Guduan,Brennan,,3:21,N,12208,+++++,
63,Wednesday Jun 5,boxscore,HOU,@,SEA,L,1,14,,42-21,1,up 9.0,Leake,Peacock,,2:49,N,13652,-,
64,Thursday Jun 6,boxscore,HOU,@,SEA,W,8,7,14,43-21,1,up 9.0,Devenski,Festa,,5:06,D,20258,+,
65,Friday Jun 7,boxscore,HOU,,BAL,W-wo,4,3,11,44-21,1,up10.0,Perez,Kline,,3:13,N,35414,++,
66,Saturday Jun 8,boxscore,HOU,,BAL,L,1,4,,44-22,1,up 8.5,Fry,Harris,Castro,2:27,D,38425,-,
67,Sunday Jun 9,boxscore,HOU,,BAL,W,4,0,,45-22,1,up 9.5,Miley,Bundy,Osuna,2:46,D,35621,+,
68,Tuesday Jun 11,boxscore,HOU,,MIL,W,10,8,,46-22,1,up 9.0,Peacock,Peralta,,2:58,N,35928,++,
69,Wednesday Jun 12,boxscore,HOU,,MIL,L,3,6,14,46-23,1,up 9.0,Houser,Perez,,4:16,N,40032,-,
70,Friday Jun 14,boxscore,HOU,,TOR,W,15,2,,47-23,1,up 9.5,Cole,Sanchez,Armenteros,2:53,N,34719,+,
71,Saturday Jun 15,boxscore,HOU,,TOR,W,7,2,,48-23,1,up 9.5,Valdez,Richard,,2:26,D,38012,++,
72,Sunday Jun 16,boxscore,HOU,,TOR,L,0,12,,48-24,1,up 9.5,Thornton,Peacock,,3:02,D,42174,-,
73,Monday Jun 17,boxscore,HOU,@,CIN,L,2,3,,48-25,1,up 8.5,Castillo,Miley,Lorenzen,2:55,N,22745,--,
74,Tuesday Jun 18,boxscore,HOU,@,CIN,L,3,4,,48-26,1,up 8.5,DeSclafani,Verlander,Lorenzen,2:55,N,25347,---,
75,Wednesday Jun 19,boxscore,HOU,@,CIN,L-wo,2,3,,48-27,1,up 8.5,Bowman,Osuna,,2:38,D,24777,----,
76,Thursday Jun 20,boxscore,HOU,@,NYY,L,6,10,,48-28,1,up 7.5,Cortes,Valdez,Chapman,3:31,N,41030,-----,
77,Friday Jun 21,boxscore,HOU,@,NYY,L,1,4,,48-29,1,up 7.5,Paxton,Peacock,Chapman,3:06,N,41166,------,
78,Saturday Jun 22,boxscore,HOU,@,NYY,L,5,7,,48-30,1,up 6.5,Holder,Pressly,Britton,3:08,N,46034,-------,
79,Sunday Jun 23,boxscore,HOU,@,NYY,W,9,4,,49-30,1,up 6.5,Verlander,Happ,,2:48,D,46769,+,
80,Tuesday Jun 25,boxscore,HOU,,PIT,W,5,1,,50-30,1,up 6.5,Cole,Williams,,2:57,N,37193,++,
81,Wednesday Jun 26,boxscore,HOU,,PIT,L,2,14,,50-31,1,up 5.5,Agrazal,Valdez,,3:17,N,39312,-,
82,Thursday Jun 27,boxscore,HOU,,PIT,L,0,10,,50-32,1,up 4.5,Musgrove,Peacock,,2:51,D,38943,--,
83,Friday Jun 28,boxscore,HOU,,SEA,W-wo,2,1,10,51-32,1,up 4.5,Harris,Festa,,3:27,N,32828,+,
84,Saturday Jun 29,boxscore,HOU,,SEA,W-wo,6,5,10,52-32,1,up 5.5,Devenski,Elias,,3:38,N,35082,++,
85,Sunday Jun 30,boxscore,HOU,,SEA,W,6,1,,53-32,1,up 6.5,Cole,Gonzales,,2:52,D,32485,+++,
86,Tuesday Jul 2,boxscore,HOU,@,COL,W,9,8,,54-32,1,up 7.0,Harris,McGee,Osuna,3:27,N,47864,++++,
87,Wednesday Jul 3,boxscore,HOU,@,COL,W,4,2,,55-32,1,up 8.0,Miley,Lambert,Osuna,2:41,N,48308,+++++,
88,Friday Jul 5,boxscore,HOU,,LAA,L,4,5,,55-33,1,up 6.5,Pena,Verlander,Robles,2:54,N,41219,-,
89,Saturday Jul 6,boxscore,HOU,,LAA,W,4,0,,56-33,1,up 7.5,Cole,Heaney,,2:44,N,39470,+,
90,Sunday Jul 7,boxscore,HOU,,LAA,W-wo,11,10,10,57-33,1,up 7.5,Pressly,Cole,,4:49,D,37264,++,
