Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
50,Sunday May 26,boxscore,TEX,@,LAA,L,6,7,,25-25,3,8.0,Garcia,Springs,Anderson,3:27,D,39406,--,
51,Monday May 27,boxscore,TEX,@,SEA,L,2,6,,25-26,3,9.0,Milone,Lynn,,3:14,N,14135,---,
52,Tuesday May 28,boxscore,TEX,@,SEA,W,11,4,,26-26,3,9.0,Sampson,Gonzales,,3:17,N,12452,+,
53,Wednesday May 29,boxscore,TEX,@,SEA,W,8,7,,27-26,3,8.0,Chavez,Bass,Kelley,3:20,D,16059,++,
54,Thursday May 30,boxscore,TEX,,KCR,L,2,4,,27-27,3,8.5,Junis,Minor,Kennedy,3:06,N,26202,-,
55,Friday May 31,boxscore,TEX,,KCR,W,6,2,,28-27,2,8.5,Jurado,Duffy,,2:36,N,31183,+,
56,Saturday Jun 1,boxscore,TEX,,KCR,W,6,2,,29-27,2,8.5,Lynn,Bailey,,3:08,D,27133,++,
57,Sunday Jun 2,boxscore,TEX,,KCR,W,5,1,,30-27,2,8.5,Sampson,Keller,,2:38,D,21891,+++,
58,Tuesday Jun 4,boxscore,TEX,,BAL,L,11,12,,30-28,2,10.0,Bundy,Smyly,Givens,3:42,N,21903,-,
59,Wednesday Jun 5,boxscore,TEX,,BAL,W-wo,2,1,12,31-28,2,9.0,Springs,Fry,,4:18,N,21163,+,
60,Thursday Jun 6,boxscore,TEX,,BAL,W,4,3,,32-28,2,9.0,Jurado,Hess,Kelley,2:29,N,20462,++,
61,Friday Jun 7,boxscore,TEX,,OAK,L,3,5,,32-29,2,10.0,Petit,Leclerc,Treinen,3:09,N,25120,-,
62,Saturday Jun 8 (1),boxscore,TEX,,OAK,W,10,5,,33-29,2,8.5,Springs,Blackburn,,3:12,D,22327,+,
63,Saturday Jun 8 (2),boxscore,TEX,,OAK,W,3,1,,34-29,2,8.5,Sampson,Bassitt,,2:45,N,39514,++,
64,Sunday Jun 9,boxscore,TEX,,OAK,L,8,9,,34-30,2,9.5,Montas,Smyly,Treinen,3:25,D,20358,-,
65,Monday Jun 10,boxscore,TEX,@,BOS,W,4,3,11,35-30,2,9.0,Chavez,Brasier,Martin,3:25,N,34422,+,
66,Tuesday Jun 11,boxscore,TEX,@,BOS,W,9,5,,36-30,2,9.0,Jurado,Hernandez,,3:40,N,35121,++,
67,Wednesday Jun 12,boxscore,TEX,@,BOS,L-wo,3,4,,36-31,2,9.0,Barnes,Chavez,,2:54,D,34330,-,
68,Thursday Jun 13,boxscore,TEX,@,BOS,L,6,7,,36-32,2,9.5,Workman,Fairbanks,Smith,4:06,N,35841,--,
69,Friday Jun 14,boxscore,TEX,@,CIN,W,7,1,,37-32,2,9.5,Martin,Mahle,Smyly,3:08,N,30090,+,
70,Saturday Jun 15,boxscore,TEX,@,CIN,W,4,3,,38-32,2,9.5,Minor,Roark,Kelley,2:39,N,25693,++,
71,Sunday Jun 16,boxscore,TEX,@,CIN,L,3,11,,38-33,2,9.5,Gray,Jurado,,3:21,D,24079,-,
72,Monday Jun 17,boxscore,TEX,,CLE,W,7,2,,39-33,2,8.5,Lynn,Clevinger,,2:52,N,20860,+,
73,Tuesday Jun 18,boxscore,TEX,,CLE,L,3,10,,39-34,2,8.5,Plesac,Sampson,,3:13,N,19223,-,
74,Wednesday Jun 19,boxscore,TEX,,CLE,L,4,10,,39-35,2,8.5,Perez,Palumbo,,3:17,N,22906,--,
75,Thursday Jun 20,boxscore,TEX,,CLE,W,4,2,,40-35,2,7.5,Minor,Bieber,Kelley,2:35,D,18531,+,
76,Friday Jun 21,boxscore,TEX,,CHW,L,4,5,10,40-36,2,7.5,Herrera,Kelley,Colome,3:23,N,29333,-,
77,Saturday Jun 22,boxscore,TEX,,CHW,W,6,5,,41-36,2,6.5,Lynn,Marshall,Martin,3:04,N,33582,+,
